All 18 story files created in `/home/stephan/src/FairEmail/docs/user-stories/3.1-unified-inbox/`. Here's the breakdown summary:

**Epic 3.1 — Unified Inbox: 18 user stories**

| # | Story | Blocked by | Epic user stories covered |
|---|-------|------------|--------------------------|
| 1 | Folder membership state | None | US-8 |
| 2 | Default membership on account creation | 1 | US-1, US-2, US-3 |
| 3 | Unified Inbox nav entry | None | US-9, US-30, US-31 |
| 4 | Basic unified message list | 1, 3 | US-10, US-12 |
| 5 | Toggle membership context action | 1, 4 | US-4, US-5 |
| 6 | Toggle membership folder properties | 1, 5 | US-7 |
| 7 | Bulk toggle descendants | 5 | US-6 |
| 8 | Per-message actions | 4 | US-14, US-15, US-16 |
| 9 | Compose from unified inbox | 4 | US-17, US-18 |
| 10 | Reply/forward from unified inbox | 9 | US-19 |
| 11 | Notification independence | 1, 5 | US-20, US-21 |
| 12 | Search from unified inbox | 4 | US-22 |
| 13 | Sort and filter | 4 | US-23, US-24, US-25 |
| 14 | Hidden and snoozed messages | 13 | US-26, US-27, US-28 |
| 15 | Cross-account threading | 4 | US-13 |
| 16 | Sync scope interaction | 4 | US-11 |
| 17 | External surface | 4, 13 | US-32, US-33 |
| 18 | First-run hint | 5 | US-29 |

All 33 user stories from the epic are covered. Open questions OQ-1 through OQ-6 are flagged in relevant story `## Notes` sections. No files outside the output directory were modified.
