All 25 user stories written to `/home/stephan/src/FairEmail/docs/user-stories/1.1-unlimited-accounts/`. Here's the build-order summary:

| # | Story | Blocked by |
|---|-------|-----------|
| 1 | Create IMAP account | *(none — foundation)* |
| 2 | Test connection before save | 1 |
| 3 | Edit existing account | 1 |
| 4 | Add POP3 account | 1 |
| 5 | POP3-specific settings | 4 |
| 6 | Account color | 1 |
| 7 | Account avatar | 1 |
| 8 | Primary account designation | 1, 9 |
| 9 | Enable/disable sync | 1 |
| 10 | On-demand sync and polling | 9 |
| 11 | Sync network conditions | 9 |
| 12 | Account category labels | 1 |
| 13 | Category navigation grouping | 12 |
| 14 | Account reordering | 1 |
| 15 | IMAP system folder designation | 1 |
| 16 | Swipe and move defaults | 1 |
| 17 | Per-account notifications | 1 |
| 18 | Quota display | 1 |
| 19 | Connection state and diagnostics | 1 |
| 20 | Delete account | 1 |
| 21 | Duplicate account | 1, 3 |
| 22 | Advanced connection security | 1 |
| 23 | Advanced fetch and keep-alive | 1 |
| 24 | Export accounts | 1 |
| 25 | Import accounts | 24 |

Each story is a thin vertical slice covering epic user stories, functional requirements, and acceptance criteria with full traceability. Open questions from the epic (OQ-2 through OQ-7) are flagged in relevant story `## Notes` sections where they affect that slice.
