All 20 story files are in place. Here's a summary of the breakdown:

**Epic 8.1 — Desktop Notifications → 20 user stories**

| # | Story | Type | Blocked by |
|---|-------|------|------------|
| 1 | Notification categories and basic new-mail | AFK | None |
| 2 | Notification state tracking and read-dismissal | AFK | 1 |
| 3 | Sync error and warning notifications | AFK | 1 |
| 4 | Send status notifications | AFK | 1 |
| 5 | Notification grouping and summarization | AFK | 1 |
| 6 | Notification sound and rate limiting | AFK | 1 |
| 7 | Global notification configuration | AFK | 1 |
| 8 | Per-account notification settings | AFK | 7 |
| 9 | Per-folder notification settings | AFK | 8 |
| 10 | Per-sender notification overrides | AFK | 9 |
| 11 | Notification precedence resolution | AFK | 10 |
| 12 | Per-scope sound customization | AFK | 6, 11 |
| 13 | Privacy mode content redaction | AFK | 1 |
| 14 | Notification content and display controls | AFK | 7 |
| 15 | Sender avatar in notifications | AFK | 1 |
| 16 | Suppress notifications when foreground | AFK | 2 |
| 17 | Known contacts only filter | AFK | 1 |
| 18 | Unread badge count | AFK | 2 |
| 19 | Notification restoration on restart | AFK | 2 |
| 20 | Group dismiss and clear-all | AFK | 2, 5 |

Story 1 is the tracer bullet — it proves the end-to-end path from sync detection to desktop notification. Stories 2-7 fan out in parallel from that foundation. Stories 8-11 form a sequential chain building the per-scope configuration precedence. Stories 13-20 are independent feature slices that attach to the foundation. All epic user stories (US-1 through US-35), functional requirements (FR-1 through FR-46), and acceptance criteria (AC-1 through AC-20) are covered. Open questions from the epic are flagged in relevant story `## Notes` sections.
